,geohash6,temp,precip,precipcover,count
7,000000,79.2,2.142,70.83,1
40,000000,80.2,0.35,33.33,1
74,000000,74.7,1.86,54.17,3
112,000000,85.2,0.0,0.0,1
116,000000,83.5,0.138,16.67,2
127,000000,78.2,0.0,0.0,1
128,000000,78.4,0.021,4.17,2
156,h9dn5k,74.8,1.424,91.67,1
157,h9dn5x,80.9,0.0,0.0,1
253,h9dnyn,79.2,1.14,66.67,1
262,h9dpp3,78.8,0.036,12.5,1
336,h9dqc8,66.7,0.0,0.0,1
362,h9dqf6,78.3,3.914,75.0,1
385,h9dqvm,79.2,2.142,70.83,1
388,h9dqvy,79.2,2.142,70.83,1
441,h9dr2z,78.9,2.857,79.17,1
498,h9dr3j,79.2,2.142,70.83,3
512,h9dr3j,76.1,0.0,0.0,1
534,h9dr3j,75.4,0.0,0.0,2
566,h9dr3j,78.9,0.0,0.0,2
588,h9dr3j,80.8,0.487,45.83,2
620,h9dr3j,81.2,0.675,33.33,2
646,h9dr3j,77.2,0.006,8.33,1
670,h9dr3j,60.7,0.0,0.0,2
754,h9dr3j,85.0,0.0,0.0,1
776,h9dr3j,86.7,0.0,0.0,2
799,h9dr3j,78.9,2.857,79.17,1
814,h9dr3j,82.7,0.013,4.17,1
824,h9dr3j,78.1,0.0,0.0,1
826,h9dr3j,77.2,0.0,0.0,2
838,h9dr3j,76.1,0.0,0.0,2
879,h9dr3j,72.5,2.422,83.33,1
1090,h9dr3m,77.0,0.0,0.0,1
1176,h9dr3m,83.7,0.023,12.5,1
1203,h9dr3m,80.4,0.574,25.0,1
1206,h9dr3m,83.5,0.138,16.67,2
1208,h9dr3m,81.1,1.467,37.5,3
1230,h9dr3m,75.1,0.778,37.5,1
1270,h9dr3m,79.5,0.0,0.0,1
1337,h9dr3n,70.4,0.0,0.0,2
1634,h9dr3n,79.2,1.236,33.33,2
1661,h9dr3n,75.1,0.778,37.5,1
1674,h9dr3n,74.7,0.008,4.17,1
1748,h9dr3n,74.6,2.391,37.5,3
1799,h9dr3p,76.0,0.344,45.83,1
1841,h9dr3p,80.9,0.0,0.0,1
2063,h9dr3q,80.4,0.597,20.83,1
2072,h9dr3q,80.9,0.06,20.83,4
2267,h9dr3q,79.9,0.016,8.33,1
2286,h9dr3q,79.9,0.0,0.0,1
2305,h9dr3q,82.2,0.0,0.0,2
2410,h9dr3q,80.4,0.574,25.0,1
2419,h9dr3q,83.5,0.138,16.67,4
2470,h9dr3q,73.0,1.398,95.83,3
2485,h9dr3q,76.8,0.0,0.0,2
2616,h9dr3q,72.5,2.422,83.33,6
2628,h9dr3r,78.4,0.378,37.5,1
2637,h9dr3r,81.1,0.0,0.0,3
2644,h9dr3r,78.9,0.527,54.17,3
2651,h9dr3r,83.1,0.0,0.0,3
2661,h9dr3r,77.6,0.999,58.33,1
2753,h9dr3r,78.1,0.0,0.0,2
2755,h9dr3r,80.9,0.0,0.0,1
2761,h9dr3r,83.3,0.12,4.17,1
2806,h9dr3r,81.2,0.675,33.33,1
2848,h9dr3r,74.7,1.86,54.17,3
2852,h9dr3r,68.5,0.0,0.0,4
2965,h9dr3r,72.9,0.0,0.0,1
3093,h9dr3r,85.0,0.03,12.5,2
3122,h9dr3r,80.0,0.625,29.17,1
3140,h9dr3r,79.9,0.0,0.0,7
3177,h9dr3r,76.8,0.0,0.0,4
3203,h9dr3r,74.3,0.0,0.0,1
3437,h9dr3t,76.6,0.643,20.83,3
3600,h9dr3t,81.6,0.826,20.83,23
3649,h9dr3t,84.6,0.51,20.83,3
3678,h9dr3t,80.1,0.221,12.5,2
3727,h9dr3t,79.0,0.008,4.17,11
3752,h9dr3t,72.5,2.422,83.33,1
3796,h9dr3v,81.6,0.826,20.83,9
3812,h9dr3v,79.0,0.008,4.17,4
3844,h9dr3w,79.2,2.142,70.83,3
3854,h9dr3w,75.1,0.131,37.5,1
3934,h9dr3w,78.5,0.0,0.0,2
3991,h9dr3w,80.4,1.448,37.5,4
4042,h9dr3w,80.4,0.597,20.83,1
4194,h9dr3w,73.5,0.027,29.17,5
4269,h9dr3w,77.9,0.0,0.0,2
4292,h9dr3w,81.1,0.708,54.17,3
4311,h9dr3w,78.3,3.914,75.0,2
4313,h9dr3w,81.8,0.075,12.5,1
4374,h9dr3w,85.9,0.0,0.0,1
4426,h9dr3w,81.6,0.826,20.83,19
4456,h9dr3w,80.4,0.574,25.0,2
4500,h9dr3w,77.4,0.118,25.0,3
4502,h9dr3w,76.8,0.0,0.0,7
4532,h9dr3w,69.6,0.0,0.0,2
4553,h9dr3w,65.6,0.0,0.0,2
4580,h9dr3w,79.0,0.008,4.17,5
4607,h9dr3w,74.6,2.391,37.5,2
4610,h9dr3w,79.5,0.0,0.0,3
4624,h9dr3w,72.3,2.553,58.33,3
4626,h9dr3w,72.5,1.795,95.83,3
4634,h9dr3w,77.7,0.244,20.83,5
4639,h9dr3x,80.6,0.29,20.83,4
4681,h9dr3x,79.2,0.104,54.17,2
4685,h9dr3x,79.2,2.142,70.83,3
4718,h9dr3x,74.5,0.002,4.17,2
4791,h9dr3x,76.1,0.0,0.0,5
4890,h9dr3x,78.3,0.578,25.0,8
4913,h9dr3x,80.8,0.367,50.0,2
4946,h9dr3x,83.7,0.092,29.17,1
4974,h9dr3x,84.7,0.619,16.67,2
5072,h9dr3x,74.7,1.86,54.17,3
5272,h9dr3x,79.3,0.0,0.0,1
5315,h9dr3x,79.6,0.113,29.17,1
5347,h9dr3x,74.8,1.424,91.67,3
5350,h9dr3x,78.3,3.914,75.0,11
5365,h9dr3x,81.8,0.075,12.5,7
5377,h9dr3x,78.1,0.367,25.0,4
5380,h9dr3x,78.6,0.081,12.5,7
5391,h9dr3x,84.3,0.046,12.5,2
5398,h9dr3x,83.5,0.0,0.0,1
5533,h9dr3x,84.1,0.305,29.17,6
5600,h9dr3x,80.4,0.574,25.0,3
5606,h9dr3x,81.7,0.06,8.33,2
5613,h9dr3x,81.1,1.467,37.5,8
5624,h9dr3x,82.5,0.517,45.83,6
5628,h9dr3x,80.9,0.0,0.0,9
5641,h9dr3x,80.4,0.0,0.0,2
5644,h9dr3x,79.9,0.0,0.0,4
5652,h9dr3x,80.5,0.894,41.67,2
5671,h9dr3x,73.6,0.021,4.17,2
5688,h9dr3x,82.7,0.013,4.17,1
5710,h9dr3x,78.1,0.0,0.0,9
5736,h9dr3x,75.1,0.778,37.5,8
5739,h9dr3x,76.8,0.0,0.0,11
5777,h9dr3x,71.1,0.0,0.0,3
5926,h9dr3x,74.6,2.391,37.5,3
5932,h9dr3x,79.5,0.0,0.0,3
5954,h9dr3x,72.5,2.422,83.33,7
5958,h9dr3x,77.7,0.244,20.83,1
6215,h9dr3y,78.9,0.0,0.0,1
6241,h9dr3y,81.3,0.117,8.33,2
6384,h9dr3y,78.5,0.765,37.5,2
6406,h9dr3y,74.7,1.86,54.17,1
6662,h9dr3y,78.1,0.367,25.0,25
6787,h9dr3y,85.0,0.0,0.0,4
6803,h9dr3y,81.6,0.826,20.83,6
6819,h9dr3y,86.7,0.0,0.0,3
6933,h9dr3y,76.7,0.031,8.33,5
7079,h9dr3y,79.0,0.008,4.17,4
7141,h9dr3y,77.1,0.005,4.17,4
7143,h9dr3y,79.5,0.0,0.0,2
7157,h9dr3y,72.5,1.795,95.83,4
7160,h9dr3y,72.5,2.422,83.33,4
7196,h9dr3z,78.3,0.487,58.33,1
7197,h9dr3z,79.2,2.142,70.83,1
7334,h9dr3z,78.1,0.826,29.17,3
7418,h9dr3z,79.3,0.78,58.33,2
7420,h9dr3z,78.4,0.064,70.83,1
7432,h9dr3z,80.4,1.448,37.5,5
7472,h9dr3z,82.8,0.475,50.0,2
7508,h9dr3z,79.5,1.856,37.5,1
7520,h9dr3z,83.1,0.162,25.0,2
7644,h9dr3z,69.3,0.0,0.0,3
7650,h9dr3z,75.0,0.0,0.0,1
7669,h9dr3z,74.3,0.849,33.33,4
7763,h9dr3z,77.7,0.029,12.5,3
7833,h9dr3z,78.3,3.914,75.0,14
7847,h9dr3z,79.9,0.0,0.0,1
7849,h9dr3z,81.8,0.075,12.5,4
7855,h9dr3z,78.2,0.186,45.83,4
7871,h9dr3z,78.1,0.367,25.0,31
7908,h9dr3z,78.8,0.036,12.5,2
7951,h9dr3z,83.9,0.003,4.17,3
8059,h9dr3z,82.8,0.284,12.5,5
8093,h9dr3z,80.4,0.574,25.0,2
8110,h9dr3z,81.1,1.467,37.5,5
8112,h9dr3z,78.9,2.857,79.17,1
8113,h9dr3z,82.5,0.517,45.83,2
8118,h9dr3z,80.9,0.0,0.0,6
8150,h9dr3z,77.7,0.008,8.33,5
8186,h9dr3z,75.1,0.778,37.5,3
8204,h9dr3z,74.8,0.0,0.0,1
8435,h9dr3z,79.5,0.0,0.0,1
8439,h9dr3z,80.3,0.0,0.0,2
8449,h9dr3z,72.5,2.422,83.33,8
8482,h9dr46,77.0,1.043,54.17,1
8500,h9dr46,77.7,0.934,95.83,1
8562,h9dr46,81.4,0.102,12.5,4
8585,h9dr46,77.7,0.244,20.83,1
8590,h9dr47,83.7,0.021,8.33,1
8763,h9dr47,80.1,0.611,25.0,1
8790,h9dr47,81.3,0.412,16.67,2
8801,h9dr47,83.8,0.001,4.17,26
8856,h9dr47,84.1,0.019,4.17,2
8898,h9dr47,81.9,0.0,0.0,1
9029,h9dr47,78.8,0.02,4.17,1
9084,h9dr47,81.8,0.075,12.5,2
9160,h9dr47,85.3,0.0,0.0,7
9187,h9dr47,82.7,0.013,4.17,2
9195,h9dr47,81.4,0.102,12.5,17
9223,h9dr47,77.2,0.0,0.0,2
9295,h9dr47,75.7,0.0,0.0,1
9316,h9dr47,77.7,0.244,20.83,2
9442,h9dr4k,79.2,3.027,66.67,1
9445,h9dr4k,83.7,0.002,4.17,2
9452,h9dr4k,83.8,0.001,4.17,7
9471,h9dr4k,84.1,0.019,4.17,2
9516,h9dr4k,82.9,0.0,0.0,2
9544,h9dr4k,77.8,0.0,0.0,12
9556,h9dr4k,77.3,0.056,25.0,3
9649,h9dr4k,80.9,0.133,20.83,3
9688,h9dr4k,79.2,1.236,33.33,1
9696,h9dr4k,85.3,0.0,0.0,1
9697,h9dr4k,78.9,2.857,79.17,2
9726,h9dr4k,82.7,0.013,4.17,2
9736,h9dr4k,81.4,0.102,12.5,14
9748,h9dr4k,78.2,0.0,0.0,2
9845,h9dr4k,72.5,2.422,83.33,5
9888,h9dr4m,77.6,0.999,58.33,2
9893,h9dr4m,74.2,0.0,0.0,1
10012,h9dr4m,82.7,0.021,12.5,9
10046,h9dr4m,83.0,0.028,25.0,4
10130,h9dr4m,77.8,0.0,0.0,20
10157,h9dr4m,77.3,0.056,25.0,36
10230,h9dr4m,74.3,0.849,33.33,4
10369,h9dr4m,78.3,3.914,75.0,1
10516,h9dr4m,85.3,0.0,0.0,2
10518,h9dr4m,78.9,2.857,79.17,1
10573,h9dr4m,75.1,0.778,37.5,2
10604,h9dr4m,74.6,0.0,0.0,9
10643,h9dr4m,61.9,0.179,37.5,2
10732,h9dr4m,72.5,2.422,83.33,6
10736,h9dr4m,77.7,0.244,20.83,3
10784,h9dr4q,79.2,2.142,70.83,2
10787,h9dr4q,77.6,0.999,58.33,2
10943,h9dr4q,82.7,0.021,12.5,15
11049,h9dr4q,79.0,0.946,37.5,2
11098,h9dr4q,77.8,0.0,0.0,5
11108,h9dr4q,70.3,0.0,0.0,3
11232,h9dr4q,77.2,0.126,16.67,1
11294,h9dr4q,83.7,0.023,12.5,3
11314,h9dr4q,80.1,0.953,66.67,5
11342,h9dr4q,86.0,0.1,12.5,1
11355,h9dr4q,80.4,0.574,25.0,5
11363,h9dr4q,83.5,0.138,16.67,3
11367,h9dr4q,81.1,1.467,37.5,2
11430,h9dr4q,74.6,0.0,0.0,4
11446,h9dr4q,61.9,0.179,37.5,2
11519,h9dr4q,72.5,2.422,83.33,1
11520,h9dr4q,77.7,0.244,20.83,1
11590,h9dr4r,70.9,0.0,0.0,2
11604,h9dr4r,70.0,0.0,0.0,3
11710,h9dr4r,82.7,0.021,12.5,23
11760,h9dr4r,79.2,3.027,66.67,3
11791,h9dr4r,83.8,0.0,0.0,3
11823,h9dr4r,84.7,0.619,16.67,1
11827,h9dr4r,86.5,0.013,4.17,2
11868,h9dr4r,81.9,0.0,0.0,4
11901,h9dr4r,70.3,0.0,0.0,1
12022,h9dr4r,77.2,0.0,0.0,2
12108,h9dr4r,81.8,0.075,12.5,7
12122,h9dr4r,78.6,0.081,12.5,4
12146,h9dr4r,83.7,0.023,12.5,8
12228,h9dr4r,82.5,0.517,45.83,3
12399,h9dr4r,79.4,0.214,33.33,3
12402,h9dr4r,79.5,0.0,0.0,1
12414,h9dr4r,72.5,2.422,83.33,2
12459,h9dr4t,74.6,0.0,0.0,1
12507,h9dr4w,73.9,0.0,0.0,1
12514,h9dr4w,71.4,0.0,0.0,1
12522,h9dr4w,82.8,0.0,0.0,5
12569,h9dr4w,79.5,1.856,37.5,1
12668,h9dr4w,79.4,0.175,29.17,2
12671,h9dr4w,78.3,3.914,75.0,1
12675,h9dr4w,78.6,0.081,12.5,2
12720,h9dr4w,83.4,0.002,8.33,1
12741,h9dr4w,74.6,0.0,0.0,1
12745,h9dr4w,70.5,0.0,0.0,4
12751,h9dr4w,61.9,0.179,37.5,3
12789,h9dr4w,80.3,0.0,0.0,1
12892,h9dr4x,83.0,0.0,0.0,1
12915,h9dr4x,86.0,0.121,8.33,4
12920,h9dr4x,85.8,0.054,20.83,2
12938,h9dr4x,82.9,0.094,12.5,2
13027,h9dr4x,82.7,0.0,0.0,2
13029,h9dr4x,72.9,0.0,0.0,1
13046,h9dr4x,83.9,0.0,0.0,2
13059,h9dr4x,78.3,3.914,75.0,1
13061,h9dr4x,78.1,0.367,25.0,1
13112,h9dr4x,83.4,0.002,8.33,6
13118,h9dr4x,83.5,0.138,16.67,2
13197,h9dr4x,76.8,0.343,33.33,2
13203,h9dr4x,72.5,2.422,83.33,1
13206,h9dr5k,65.6,0.0,0.0,1
13396,h9dr62,79.0,0.946,37.5,2
13398,h9dr62,83.5,0.049,16.67,1
13404,h9dr62,79.1,0.186,20.83,3
13509,h9dr62,72.3,0.0,0.0,10
13518,h9dr62,74.2,0.0,0.0,12
13626,h9dr62,74.8,1.424,91.67,6
13672,h9dr62,81.7,0.537,41.67,3
13698,h9dr62,86.0,0.1,12.5,1
13713,h9dr62,79.2,1.236,33.33,3
13731,h9dr62,85.3,0.0,0.0,4
13785,h9dr62,75.3,0.013,4.17,2
13801,h9dr62,61.9,0.179,37.5,1
13914,h9dr63,81.7,0.173,4.17,5
14033,h9dr63,80.9,0.184,20.83,3
14060,h9dr63,79.2,3.027,66.67,2
14115,h9dr63,80.4,1.068,25.0,3
14238,h9dr63,72.3,0.0,0.0,8
14240,h9dr63,74.2,0.0,0.0,4
14301,h9dr63,76.0,0.0,0.0,6
14357,h9dr63,74.8,1.424,91.67,1
14390,h9dr63,85.0,0.0,0.0,2
14425,h9dr63,79.2,1.236,33.33,1
14433,h9dr63,82.2,0.472,29.17,1
14447,h9dr63,80.1,0.221,12.5,3
14590,h9dr63,77.1,0.005,4.17,4
